Type,Name,Published,Regular price,Short description,In stock?,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible
simple,Patronen,1,20340,"Fåtölj inklusive pall. Klädd i fårskinn, finns i 4 färger.",1,Material,Fårskinn (4 färger),1,Varumärke,Bröderna Andersson,1
simple,Särö 3-sits,1,35800,"3-sitssoffa klädd i tyg Millo.",1,Material,Tyg Millo,1,Varumärke,Bröderna Andersson,1
simple,Dixie,1,14900,"Klädd i tyg Millo.",1,Material,Tyg Millo,1,Varumärke,Bröderna Andersson,1
simple,Focus,1,24980,"Inklusive pall. Klädd i fårskinn, finns i 4 färger.",1,Material,Fårskinn (4 färger),1,Varumärke,Bröderna Andersson,1
simple,Kapten,1,20980,"Inklusive pall. Klädd i fårskinn, finns i 4 färger.",1,Material,Fårskinn (4 färger),1,Varumärke,Bröderna Andersson,1
simple,Cruze,1,24900,"Klädd i fårskinn, finns i 4 färger.",1,Material,Fårskinn (4 färger),1,Varumärke,Bröderna Andersson,1
